ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Age group,Gender,Literacy rate
2380,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,79.3
2381,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,85.8
2382,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,82.6
2383,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,84.5
2384,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,88.7
2385,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,86.6
2386,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,85.4
2387,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,90.7
2388,India,19,West Bengal,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,88
2389,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,59.5
2390,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,78.1
2391,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,69.1
2392,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,58.8
2393,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,78.1
2394,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,68.7
2395,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,63
2396,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,80.4
2397,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,72
2398,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,62.6
2399,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,80.7
2400,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,71.8
2401,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,76.6
2402,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,90.4
2403,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,83.5
2404,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,77.2
2405,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,91.2
2406,India,20,Jharkhand,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,84.2
2407,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,62.4
2408,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,77.3
2409,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,69.5
2410,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,62.2
2411,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,78.2
2412,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,69.8
2413,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,66.2
2414,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,80
2415,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,72.8
2416,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,66.2
2417,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,81
2418,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,73.2
2419,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,80.1
2420,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,89.5
2421,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,84.7
2422,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,80.6
2423,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,90.4
2424,India,20,Jharkhand,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,85.4
2425,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,59.7
2426,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,77.2
2427,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,68.4
2428,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,60.1
2429,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,78.7
2430,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,69.3
2431,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,63.6
2432,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,79.9
2433,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,71.7
2434,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,64.1
2435,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,81.4
2436,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,72.8
2437,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,78.8
2438,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,89.3
2439,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,84.2
2440,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,79.4
2441,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,90.5
2442,India,20,Jharkhand,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,85.2
2443,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,60.2
2444,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,78.3
2445,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,69.4
2446,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,59.9
2447,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,79.7
2448,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,69.9
2449,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,63.8
2450,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,80.7
2451,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,72.4
2452,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,63.8
2453,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,82.3
2454,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,73.1
2455,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,78.1
2456,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,89.8
2457,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,84.2
2458,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,78.6
2459,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,91.8
2460,India,20,Jharkhand,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,85.4
2461,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,64.5
2462,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,79.5
2463,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,71.9
2464,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,65.2
2465,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,81.5
2466,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,73.3
2467,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,67.8
2468,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,81.9
2469,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,74.8
2470,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,68.7
2471,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,83.8
2472,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,76.2
2473,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,81.2
2474,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,90.8
2475,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,86.1
2476,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,82.6
2477,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,92.2
2478,India,20,Jharkhand,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,87.5
2479,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,69.5
2480,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,83.1
2481,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,76.2
2482,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,70.3
2483,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,84.7
2484,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,77.4
2485,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,71.7
2486,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,84.6
2487,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,78.1
2488,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,72.6
2489,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,86.2
2490,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,79.3
2491,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,82.2
2492,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,91.2
2493,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,86.9
2494,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,83
2495,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,92.8
2496,India,20,Jharkhand,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,88.1
2497,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,67.1
2498,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,78.6
2499,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,72.9
2500,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,68
2501,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,80.7
2502,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,74.3
2503,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,69.6
2504,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,80.9
2505,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,75.3
2506,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,70.6
2507,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,82.8
2508,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,76.7
2509,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,80.4
2510,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,90.2
2511,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,85.3
2512,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,81.7
2513,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,91.3
2514,India,20,Jharkhand,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,86.6
2515,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,67.6
2516,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,79.9
2517,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,73.7
2518,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,67.8
2519,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,80.7
2520,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,74.2
2521,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,69.8
2522,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,81.7
2523,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,75.7
2524,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,70
2525,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,82.5
2526,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,76.2
2527,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,81.6
2528,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,91.6
2529,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,86.5
2530,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,82.1
2531,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,92.4
2532,India,21,Odisha,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,87.1
2533,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,66.3
2534,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,81.2
2535,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,73.8
2536,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,66.5
2537,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,82.1
2538,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,74.3
2539,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,68.9
2540,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,82.7
2541,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,75.8
2542,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,69.3
2543,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,83.6
2544,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,76.5
2545,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,83.1
2546,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,90.8
2547,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,86.9
2548,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,84
2549,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,92.3
2550,India,21,Odisha,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,88
2551,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,66.5
2552,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,79.5
2553,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,73.1
2554,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,66.7
2555,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,80.6
2556,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,73.6
2557,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,68.9
2558,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,81.3
2559,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,75.1
2560,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,69.1
2561,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,82.3
2562,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,75.7
2563,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,82.2
2564,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,90.6
2565,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,86.5
2566,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,82.9
2567,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,91.7
2568,India,21,Odisha,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,87.4
2569,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,68.8
2570,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,80.5
2571,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,74.7
2572,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,69.4
2573,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,81.6
2574,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,75.5
2575,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,70.7
2576,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,81.9
2577,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,76.4
2578,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,71.3
2579,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,83
2580,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,77.2
2581,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,81.4
2582,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,89.6
2583,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,85.6
2584,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,81.8
2585,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,90.9
2586,India,21,Odisha,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,86.4
2587,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,69.2
2588,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,80.3
2589,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,74.7
2590,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,70.1
2591,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,81.4
2592,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,75.8
2593,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,70.8
2594,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,81.6
2595,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,76.2
2596,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,71.8
2597,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,82.9
2598,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,77.3
2599,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,80.2
2600,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,89.4
2601,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,84.9
2602,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,81.8
2603,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,91.2
2604,India,21,Odisha,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,86.6
2605,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,71.1
2606,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,82.4
2607,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,76.7
2608,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,71.7
2609,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,83.7
2610,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,77.7
2611,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,72.8
2612,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,83.7
2613,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,78.3
2614,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,73.6
2615,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,85
2616,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,79.3
2617,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,83.8
2618,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,91.2
2619,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,87.6
2620,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,85.1
2621,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,92.4
2622,India,21,Odisha,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,88.9
2623,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,70.3
2624,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,81.9
2625,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,75.9
2626,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,71
2627,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,83.2
2628,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,76.9
2629,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,72.6
2630,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,83.5
2631,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,77.9
2632,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,73.3
2633,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,84.9
2634,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,79
2635,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,85.8
2636,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,92.2
2637,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,89.1
2638,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,87
2639,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,93.7
2640,India,21,Odisha,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,90.4
2641,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,66
2642,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,81.6
2643,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,74.1
2644,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,66.8
2645,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,83.3
2646,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,75.4
2647,India,22,Chhattisgarh,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,68.1
